NA,studyid,site,year,factormanipulated,secondfactor,tempman,phenoman,phenophaseman,labfield,treatment,treatunits,treatchangeC,treatchangeday,genus,species,phenophase,phenounits,phenovalue,phenovarunit,phenovarvalue,n,fitnesscomp,fitnessunit,fitnessvalue,fitnessvarunit,fitnessvarvalue,notes
re-checked,HMK002,"Cape Cod, MA, US",1996,consumer,NA,NA,2,larval emergence,field,0,day,NA,NA,Quercus,alba,budburst,day,138,NA,NA,NA,NA,NA,NA,NA,NA,ambient
re-checked,HMK002,"Cape Cod, MA, US",1996,consumer,NA,NA,2,larval emergence,field,0,day,NA,NA,Quercus,velutina,budburst,day,126,NA,NA,NA,NA,NA,NA,NA,NA,ambient
re-checked,HMK002,"Cape Cod, MA, US",1995,consumer,NA,NA,2,larval emergence,field,1,day,NA,-8,Lymantria,dispar,timing of egg hatch,day,130,NA,NA,NA,NA,NA,NA,NA,NA,relative to alba
re-checked,HMK002,"Cape Cod, MA, US",1995,consumer,NA,NA,2,larval emergence,field,1,day,NA,4,Lymantria,dispar,timing of egg hatch,day,130,NA,NA,NA,NA,NA,NA,NA,NA,relative to velutina
re-checked,HMK002,"Cape Cod, MA, US",1995,consumer,NA,NA,2,larval emergence,field,2,day,NA,0,Lymantria,dispar,timing of egg hatch,day,135,NA,NA,NA,NA,NA,NA,NA,NA,relative to alba
re-checked,HMK002,"Cape Cod, MA, US",1995,consumer,NA,NA,2,larval emergence,field,2,day,NA,11,Lymantria,dispar,timing of egg hatch,day,135,NA,NA,NA,NA,NA,NA,NA,NA,relative to velutina
re-checked,HMK002,"Cape Cod, MA, US",1995,consumer,NA,NA,2,larval emergence,field,3,day,NA,12,Lymantria,dispar,timing of egg hatch,day,147,NA,NA,NA,NA,NA,NA,NA,NA,relative to alba
re-checked,HMK002,"Cape Cod, MA, US",1995,consumer,NA,NA,2,larval emergence,field,3,day,NA,23,Lymantria,dispar,timing of egg hatch,day,147,NA,NA,NA,NA,NA,NA,NA,NA,relative to velutina
re-checked,HMK003,"Kyoto, Japan",2000,consumer,NA,NA,2,oviposition,field,2,day,NA,12,Asphondylia,aucubae,timing of oviposition,day,166,NA,NA,5,oviposition success,percentage,0,NA,NA,shrub D; treatchange relative to crack in the endocarp of area >10% (june 3) *** using dates from 1999 not 2000
re-checked,HMK003,"Kyoto, Japan",2000,consumer,NA,NA,2,oviposition,field,5,day,NA,23,Asphondylia,aucubae,timing of oviposition,day,177,NA,NA,5,oviposition success,percentage,0,NA,NA,shrub D; treatchange relative to crack in the endocarp of area >10% (june 3) *** using dates from 1999 not 2000
re-checked,HMK003,"Kyoto, Japan",1999,consumer,NA,NA,2,oviposition,field,1,day,NA,4,Asphondylia,aucubae,timing of oviposition,day,158,NA,NA,5,oviposition success,percentage,0.0563969,NA,NA,shrub C; treatchange relative to crack in the endocarp of area >10% (june 3)
re-checked,HMK003,"Kyoto, Japan",2000,consumer,NA,NA,2,oviposition,field,4,day,NA,18,Asphondylia,aucubae,timing of oviposition,day,172,NA,NA,5,oviposition success,percentage,0.0812645,NA,NA,shrub D; treatchange relative to crack in the endocarp of area >10% (june 3) *** using dates from 1999 not 2000
re-checked,HMK003,"Kyoto, Japan",1999,consumer,NA,NA,2,oviposition,field,1,day,NA,4,Asphondylia,aucubae,timing of oviposition,day,158,NA,NA,5,oviposition success,percentage,0.10235,NA,NA,shrub A; treatchange relative to crack in the endocarp of area >10% (june 3)
re-checked,HMK003,"Kyoto, Japan",1999,consumer,NA,NA,2,oviposition,field,5,day,NA,20,Asphondylia,aucubae,timing of oviposition,day,174,NA,NA,5,oviposition success,percentage,0.107572,NA,NA,shrub C; treatchange relative to crack in the endocarp of area >10% (june 3)
re-checked,HMK003,"Kyoto, Japan",2000,consumer,NA,NA,2,oviposition,field,1,day,NA,9,Asphondylia,aucubae,timing of oviposition,day,163,NA,NA,5,oviposition success,percentage,0.108573,NA,NA,shrub F; treatchange relative to crack in the endocarp of area >10% (june 3) *** using dates from 1999 not 2000
re-checked,HMK003,"Kyoto, Japan",2000,consumer,NA,NA,2,oviposition,field,5,day,NA,23,Asphondylia,aucubae,timing of oviposition,day,177,NA,NA,5,oviposition success,percentage,0.110997,NA,NA,shrub E; treatchange relative to crack in the endocarp of area >10% (june 3) *** using dates from 1999 not 2000
re-checked,HMK003,"Kyoto, Japan",1999,consumer,NA,NA,2,oviposition,field,5,day,NA,20,Asphondylia,aucubae,timing of oviposition,day,174,NA,NA,5,oviposition success,percentage,0.115927,NA,NA,shrub B; treatchange relative to crack in the endocarp of area >10% (june 3)
re-checked,HMK003,"Kyoto, Japan",2000,consumer,NA,NA,2,oviposition,field,3,day,NA,15,Asphondylia,aucubae,timing of oviposition,day,169,NA,NA,5,oviposition success,percentage,0.129576,NA,NA,shrub F; treatchange relative to crack in the endocarp of area >10% (june 3) *** using dates from 1999 not 2000
re-checked,HMK003,"Kyoto, Japan",1999,consumer,NA,NA,2,oviposition,field,5,day,NA,20,Asphondylia,aucubae,timing of oviposition,day,174,NA,NA,5,oviposition success,percentage,0.132637,NA,NA,shrub A; treatchange relative to crack in the endocarp of area >10% (june 3)
re-checked,HMK003,"Kyoto, Japan",2000,consumer,NA,NA,2,oviposition,field,2,day,NA,12,Asphondylia,aucubae,timing of oviposition,day,166,NA,NA,5,oviposition success,percentage,0.13842,NA,NA,shrub F; treatchange relative to crack in the endocarp of area >10% (june 3) *** using dates from 1999 not 2000
re-checked,HMK003,"Kyoto, Japan",2000,consumer,NA,NA,2,oviposition,field,3,day,NA,15,Asphondylia,aucubae,timing of oviposition,day,169,NA,NA,5,oviposition success,percentage,0.142208,NA,NA,shrub E; treatchange relative to crack in the endocarp of area >10% (june 3) *** using dates from 1999 not 2000
re-checked,HMK003,"Kyoto, Japan",2000,consumer,NA,NA,2,oviposition,field,1,day,NA,9,Asphondylia,aucubae,timing of oviposition,day,163,NA,NA,5,oviposition success,percentage,0.144103,NA,NA,shrub D; treatchange relative to crack in the endocarp of area >10% (june 3) *** using dates from 1999 not 2000
re-checked,HMK003,"Kyoto, Japan",2000,consumer,NA,NA,2,oviposition,field,1,day,NA,9,Asphondylia,aucubae,timing of oviposition,day,163,NA,NA,5,oviposition success,percentage,0.154367,NA,NA,shrub E; treatchange relative to crack in the endocarp of area >10% (june 3) *** using dates from 1999 not 2000
re-checked,HMK003,"Kyoto, Japan",2000,consumer,NA,NA,2,oviposition,field,4,day,NA,18,Asphondylia,aucubae,timing of oviposition,day,172,NA,NA,5,oviposition success,percentage,0.167312,NA,NA,shrub F; treatchange relative to crack in the endocarp of area >10% (june 3) *** using dates from 1999 not 2000
re-checked,HMK003,"Kyoto, Japan",2000,consumer,NA,NA,2,oviposition,field,4,day,NA,18,Asphondylia,aucubae,timing of oviposition,day,172,NA,NA,5,oviposition success,percentage,0.168098,NA,NA,shrub E; treatchange relative to crack in the endocarp of area >10% (june 3) *** using dates from 1999 not 2000
re-checked,HMK003,"Kyoto, Japan",1999,consumer,NA,NA,2,oviposition,field,4,day,NA,17,Asphondylia,aucubae,timing of oviposition,day,171,NA,NA,5,oviposition success,percentage,0.168146,NA,NA,shrub A; treatchange relative to crack in the endocarp of area >10% (june 3)
re-checked,HMK003,"Kyoto, Japan",2000,consumer,NA,NA,2,oviposition,field,2,day,NA,12,Asphondylia,aucubae,timing of oviposition,day,166,NA,NA,5,oviposition success,percentage,0.173944,NA,NA,shrub E; treatchange relative to crack in the endocarp of area >10% (june 3) *** using dates from 1999 not 2000
re-checked,HMK003,"Kyoto, Japan",1999,consumer,NA,NA,2,oviposition,field,4,day,NA,17,Asphondylia,aucubae,timing of oviposition,day,171,NA,NA,5,oviposition success,percentage,0.18799,NA,NA,shrub B; treatchange relative to crack in the endocarp of area >10% (june 3)
re-checked,HMK003,"Kyoto, Japan",1999,consumer,NA,NA,2,oviposition,field,1,day,NA,4,Asphondylia,aucubae,timing of oviposition,day,158,NA,NA,5,oviposition success,percentage,0.193211,NA,NA,shrub B; treatchange relative to crack in the endocarp of area >10% (june 3)
re-checked,HMK003,"Kyoto, Japan",1999,consumer,NA,NA,2,oviposition,field,2,day,NA,9,Asphondylia,aucubae,timing of oviposition,day,163,NA,NA,5,oviposition success,percentage,0.201567,NA,NA,shrub B; treatchange relative to crack in the endocarp of area >10% (june 3)
re-checked,HMK003,"Kyoto, Japan",2000,consumer,NA,NA,2,oviposition,field,3,day,NA,15,Asphondylia,aucubae,timing of oviposition,day,169,NA,NA,5,oviposition success,percentage,0.217212,NA,NA,shrub D; treatchange relative to crack in the endocarp of area >10% (june 3) *** using dates from 1999 not 2000
re-checked,HMK003,"Kyoto, Japan",1999,consumer,NA,NA,2,oviposition,field,3,day,NA,12,Asphondylia,aucubae,timing of oviposition,day,166,NA,NA,5,oviposition success,percentage,0.245431,NA,NA,shrub A; treatchange relative to crack in the endocarp of area >10% (june 3)
re-checked,HMK003,"Kyoto, Japan",1999,consumer,NA,NA,2,oviposition,field,2,day,NA,9,Asphondylia,aucubae,timing of oviposition,day,163,NA,NA,5,oviposition success,percentage,0.248564,NA,NA,shrub A; treatchange relative to crack in the endocarp of area >10% (june 3)
re-checked,HMK003,"Kyoto, Japan",1999,consumer,NA,NA,2,oviposition,field,3,day,NA,12,Asphondylia,aucubae,timing of oviposition,day,166,NA,NA,5,oviposition success,percentage,0.263185,NA,NA,shrub B; treatchange relative to crack in the endocarp of area >10% (june 3)
re-checked,HMK003,"Kyoto, Japan",1999,consumer,NA,NA,2,oviposition,field,2,day,NA,9,Asphondylia,aucubae,timing of oviposition,day,163,NA,NA,5,oviposition success,percentage,0.267363,NA,NA,shrub C; treatchange relative to crack in the endocarp of area >10% (june 3)
re-checked,HMK003,"Kyoto, Japan",1999,consumer,NA,NA,2,oviposition,field,3,day,NA,12,Asphondylia,aucubae,timing of oviposition,day,166,NA,NA,5,oviposition success,percentage,0.269452,NA,NA,shrub C; treatchange relative to crack in the endocarp of area >10% (june 3)
re-checked,HMK003,"Kyoto, Japan",2000,consumer,NA,NA,2,oviposition,field,5,day,NA,23,Asphondylia,aucubae,timing of oviposition,day,177,NA,NA,5,oviposition success,percentage,0.273631,NA,NA,shrub F; treatchange relative to crack in the endocarp of area >10% (june 3) *** using dates from 1999 not 2000
re-checked,HMK003,"Kyoto, Japan",1999,consumer,NA,NA,2,oviposition,field,4,day,NA,17,Asphondylia,aucubae,timing of oviposition,day,171,NA,NA,5,oviposition success,percentage,0.275718,NA,NA,shrub C; treatchange relative to crack in the endocarp of area >10% (june 3)
re-checked,HMK005,"Mustaseika, Finland",1994,consumer,NA,NA,2,egg hatch,field,2,day,NA,15,Epirrita,autumnata,timing of egg hatch,day,156,NA,NA,9,pupal mass,mg,51.0529,SE,1.0311,treatchange relative to budburst; assuming the same budburst at both sites and that 0-0.6 stage of budburst (out of 1) is still budburst
re-checked,HMK005,"Kunnasenvaara, Finland",1994,consumer,NA,NA,2,egg hatch,field,2,day,NA,15,Epirrita,autumnata,timing of egg hatch,day,156,NA,NA,12,pupal mass,mg,53.1836,SE,2.8319,treatchange relative to budburst; assuming the same budburst at both sites and that 0-0.6 stage of budburst (out of 1) is still budburst
re-checked,HMK005,"Mustaseika, Finland",1994,consumer,NA,NA,2,egg hatch,field,1,day,NA,0,Epirrita,autumnata,timing of egg hatch,day,141,NA,NA,15,pupal mass,mg,65.2885,SE,2.0611,treatchange relative to budburst; assuming the same budburst at both sites and that 0-0.6 stage of budburst (out of 1) is still budburst
re-checked,HMK005,"Kunnasenvaara, Finland",1994,consumer,NA,NA,2,egg hatch,field,1,day,NA,0,Epirrita,autumnata,timing of egg hatch,day,141,NA,NA,15,pupal mass,mg,70.727,SE,3.8938,treatchange relative to budburst; assuming the same budburst at both sites and that 0-0.6 stage of budburst (out of 1) is still budburst
re-checked,JEH001,"Wytham, UK",2006,elevated temperature,unshaded,2,NA,Larval development time,Field,1,C,2.06,9.6039,Euphydryas,aurinia,host availability,day,NA,NA,NA,7,host development time (ffinal instar to pupation),days (sqrt),5.75995,SE,0.07912,difference between host availability and parasitoid hatching; experiment 1 for fitness; temperature difference: grand mean- treatment mean
re-checked,JEH001,"Wytham, UK",2006,ambient temperature,unshaded,2,NA,Larval development time,Field,0,C,0,10.7121,Euphydryas,aurinia,host availability,day,NA,NA,NA,14,host development time (ffinal instar to pupation),days (sqrt),6.75528,SE,0.13931,difference between host availability and parasitoid hatching; experiment 1 for fitness;  temperature difference: grand mean- treatment mean
re-checked,JEH001,"Wytham, UK",2006,elevated temperature,shaded,3,NA,Larval development time,Field,1,C,1.74,2.15496,Euphydryas,aurinia,host availability,day,NA,NA,NA,9,host development time (ffinal instar to pupation),days (sqrt),6.7629,SE,0.15897,difference between host availability and parasitoid hatching; experiment 1 for fitness;  temperature difference: grand mean- treatment mean
re-checked,JEH001,"Wytham, UK",2006,ambient temperature,shaded,3,NA,Larval development time,Field,0,C,0,-0.868018,Euphydryas,aurinia,host availability,day,NA,NA,NA,7,host development time (ffinal instar to pupation),days (sqrt),8.21622,SE,0.13906,difference between host availability and parasitoid hatching; experiment 1 for fitness;  temperature difference: grand mean- treatment mean
re-checked,JEH001,"Wytham, UK",2006,elevated temperature,unshaded,2,NA,Larval development time,Field,1,C,2.06,9.6039,Cotesia,bignellii,parasitoid hatching,day,NA,NA,NA,8,parasitoid development time,days,22.2086,SE,3.6911,difference between host availability and parasitoid hatching; temperature difference: grand mean- treatment mean
re-checked,JEH001,"Wytham, UK",2006,ambient temperature,unshaded,2,NA,Larval development time,Field,0,C,0,10.7121,Cotesia,bignellii,parasitoid hatching,day,NA,NA,NA,5,parasitoid development time,days,25.1534,SE,3.6015,difference between host availability and parasitoid hatching; temperature difference: grand mean- treatment mean
re-checked,JEH001,"Wytham, UK",2006,elevated temperature,shaded,3,NA,Larval development time,Field,1,C,1.74,2.15496,Cotesia,bignellii,parasitoid hatching,day,NA,NA,NA,7,parasitoid development time,days,27.3006,SE,2.9679,difference between host availability and parasitoid hatching; temperature difference: grand mean- treatment mean
re-checked,JEH001,"Wytham, UK",2006,ambient temperature,shaded,3,NA,Larval development time,Field,0,C,0,-0.868018,Cotesia,bignellii,parasitoid hatching,day,NA,NA,NA,8,parasitoid development time,days,27.362,SE,1.5898,difference between host availability and parasitoid hatching; temperature difference: grand mean- treatment mean
*need to re-enter,kjb001,Hokkaido campus,1989,consumer,NA,NA,1,emergence,field,1,day,-12,NA,Tetraneura,sp.,emergence,day,108,NA,NA,104,abortion,percentage,1.341688,NA,NA,NA
*need to re-enter,kjb001,Hokkaido campus,1989,consumer,NA,NA,2,emergence,field,3,day,14,NA,Tetraneura,sp.,emergence,day,134,NA,NA,104,expectedfecundity,number,1.549994,NA,NA,NA
*need to re-enter,kjb001,Hokkaido campus,1989,consumer,NA,NA,1,emergence,field,1,day,-12,NA,Tetraneura,sp.,emergence,day,108,NA,NA,104,expectedfecundity,number,1.924913,NA,NA,NA
*need to re-enter,kjb001,Hokkaido campus,1989,consumer,NA,NA,0,emergence,field,2,day,0,NA,Tetraneura,sp.,emergence,day,120,NA,NA,104,abortion,percentage,4.336877,NA,NA,NA
*need to re-enter,kjb001,Hokkaido campus,1989,consumer,NA,NA,0,emergence,field,2,day,0,NA,Tetraneura,sp.,emergence,day,120,NA,NA,104,expectedfecundity,number,5.996001,NA,NA,NA
*need to re-enter,kjb001,Hokkaido campus,1989,consumer,NA,NA,1,emergence,field,1,day,-12,NA,Tetraneura,sp.,emergence,day,108,NA,NA,104,gallsperlarveae,percentage,9.139809,NA,NA,NA
*need to re-enter,kjb001,Hokkaido campus,1989,consumer,NA,NA,2,emergence,field,3,day,14,NA,Tetraneura,sp.,emergence,day,134,NA,NA,104,gallsperlarveae,percentage,10.129216,NA,NA,NA
*need to re-enter,kjb001,Hokkaido campus,1989,consumer,NA,NA,2,emergence,field,3,day,14,NA,Tetraneura,sp.,emergence,day,134,NA,NA,104,fecundity,number,16.120137,NA,NA,NA
*need to re-enter,kjb001,Hokkaido campus,1989,consumer,NA,NA,0,emergence,field,2,day,0,NA,Tetraneura,sp.,emergence,day,120,NA,NA,104,fecundity,number,17.167237,NA,NA,NA
*need to re-enter,kjb001,Hokkaido campus,1989,consumer,NA,NA,1,emergence,field,1,day,-12,NA,Tetraneura,sp.,emergence,day,108,NA,NA,104,fecundity,number,21.373957,NA,NA,NA
*need to re-enter,kjb001,Hokkaido campus,1989,consumer,NA,NA,2,emergence,field,3,day,14,NA,Tetraneura,sp.,emergence,day,134,NA,NA,104,abortion,percentage,23.50003,NA,NA,NA
*need to re-enter,kjb001,Hokkaido campus,1989,consumer,NA,NA,0,emergence,field,2,day,0,NA,Tetraneura,sp.,emergence,day,120,NA,NA,104,gallsperlarveae,percentage,34.980843,NA,NA,NA
can't include because phytoplankton and ciliates are not genus,kjb002,Lake Brunnsee,2005,temperature8mdepth,NA,6,2,growth,field,0,C,13.4291,NA,Daphnia,hyalina,peakofdevelopment,day,154.3,NA,NA,NA,populationsize,numberperlitre,28.3,se,3.2,NA
can't include because phytoplankton and ciliates are not genus,kjb002,Lake Brunnsee,2005,temperature8mdepth,NA,6,2,growth,field,1,C,12.1118,NA,Daphnia,hyalina,peakofdevelopment,day,157.8,NA,NA,NA,populationsize,numberperlitre,33.3,se,1.3,NA
can't include because phytoplankton and ciliates are not genus,kjb002,Lake Brunnsee,2005,temperature2mdepth,NA,6,2,growth,field,1,C,12.8197,NA,Daphnia,hyalina,peakofdevelopment,day,172.8,NA,NA,NA,populationsize,numberperlitre,48,se,12.7,NA
can't include because phytoplankton and ciliates are not genus,kjb002,Lake Brunnsee,2005,temperature2mdepth,NA,6,2,growth,field,0,C,16.9596,NA,Daphnia,hyalina,peakofdevelopment,day,140.6,NA,NA,NA,populationsize,numberperlitre,73.5,se,20,NA
can't include because phytoplankton and ciliates are not genus,kjb002,Lake Brunnsee,2005,temperature4mdepth,NA,6,2,growth,field,0,C,16.0496,NA,Daphnia,hyalina,peakofdevelopment,day,143.6,NA,NA,NA,populationsize,numberperlitre,79.3,se,17.3,NA
can't include because phytoplankton and ciliates are not genus,kjb002,Lake Brunnsee,2005,temperature4mdepth,NA,6,2,growth,field,1,C,12.6505,NA,Daphnia,hyalina,peakofdevelopment,day,154.2,NA,NA,NA,populationsize,numberperlitre,81.1,se,20,NA
can't include because phytoplankton and ciliates are not genus,kjb002,Lake Brunnsee,2005,temperature2mdepth,NA,6,2,growth,field,0,C,16.9596,NA,Daphnia,hyalina,startofdevelopment,day,129.7,NA,NA,NA,NA,NA,NA,NA,NA,"tempman=6 means ""Active cooling"""
can't include because phytoplankton and ciliates are not genus,kjb002,Lake Brunnsee,2005,temperature4mdepth,NA,6,2,growth,field,0,C,16.0496,NA,Daphnia,hyalina,startofdevelopment,day,129.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't include because phytoplankton and ciliates are not genus,kjb002,Lake Brunnsee,2005,temperature8mdepth,NA,6,2,growth,field,0,C,13.4291,NA,Daphnia,hyalina,startofdevelopment,day,136.55,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't include because phytoplankton and ciliates are not genus,kjb002,Lake Brunnsee,2005,temperature2mdepth,NA,6,2,growth,field,1,C,12.8197,NA,Daphnia,hyalina,startofdevelopment,day,135.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't include because phytoplankton and ciliates are not genus,kjb002,Lake Brunnsee,2005,temperature4mdepth,NA,6,2,growth,field,1,C,12.6505,NA,Daphnia,hyalina,startofdevelopment,day,136.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
can't include because phytoplankton and ciliates are not genus,kjb002,Lake Brunnsee,2005,temperature8mdepth,NA,6,2,growth,field,1,C,12.1118,NA,Daphnia,hyalina,startofdevelopment,day,140.7,NA,NA,NA,NA,NA,NA,NA,NA,NA
re-checked,SET006,"Wytham wood, Oxford, UK",1994,consumer,NA,2,1,fledgling development,field,1,day,NA,7,Parus,major,fledgling development,NA,NA,NA,na,4,fledgling mass at day 13,g,9.97,0.49,NA,delay development of eggs by removing from nest for seven days then returning
re-checked,SET006,"Wytham wood, Oxford, UK",1994,consumer,NA,2,1,fledgling development,field,0,day,NA,0,Parus,major,fledgling development,NA,NA,NA,NA,4,fledgling mass at day 13,g,11.17,0.08,NA,delay development of eggs by removing from nest for seven days then returning
re-checked,SET006,"Wytham wood, Oxford, UK",1994,temperature,NA,2,1,egg development,field,0,C,0,-9.3,Operophtera,brumata,egg darkening,day,29.4,SE,0.8,4,NA,NA,NA,NA,NA,hk: from text: darkening-budburst
re-checked,SET006,"Wytham wood, Oxford, UK",1994,temperature,NA,2,1,budburst,field,0,C,0,0,Quercus,robur,budburst,day,38.7,NA,1.6,4,NA,NA,NA,NA,NA,NA
